"nu";"sigma";"P"
"1";7.77388925114261;0.784092787891484;2
"2";10.6347433019214;0.616292339234373;3
"3";13.4715942082377;0.524026026574203;4
"4";16.4625761159545;0.464089640533889;5
"5";19.3837262967158;0.420755660151205;6
"6";22.2383411949838;0.387821684228184;7
"7";24.9271135749626;0.361167818478981;8
"8";28.1879289006196;0.33990491851755;9
"9";31.4267629082655;0.321856599615873;10
"10";33.8931133428888;0.306219143059383;11
"11";37.4552973628285;0.292962764404352;12
"12";40.5197285880428;0.281101818763609;13
"13";43.195902697976;0.270470869175006;14
"14";46.4385079973842;0.261216936835261;15
"15";49.6704135836507;0.252815548203251;16
"16";51.081226856012;0.244868968913617;17
"17";55.1498908140928;0.237958721960786;18
"18";57.6405070261041;0.2314608082896;19
"19";60.8149644053219;0.22551244405329;20
"20";63.9092737103093;0.220061035897857;21
"21";64.7069760061298;0.214641488042962;22
"22";71.7977268533759;0.210181996541123;23
"23";72.8964825218122;0.205632666025925;24
"24";74.4389095765593;0.201395823321088;25
"25";79.8682974695289;0.197482480019124;26
"26";81.4615027337486;0.193580912214102;27
"27";87.643404875597;0.190155377235248;28
"28";86.4329067196549;0.186757948648381;29
"29";92.6537213198232;0.183667406550479;30
"30";90.3891648785149;0.180445753220266;31
"31";98.2210917787444;0.177693037734914;32
"32";102.024734515417;0.175144080353942;33
"33";102.518869220242;0.172263378091326;34
"34";104.014438082759;0.169769176022495;35
"35";117.583773442764;0.167529201201275;36
"36";104.195285074881;0.165111145412977;37
"37";119.148303851219;0.162989840195023;38
"38";129.279454477252;0.160892118295792;39
"39";137.930829549507;0.158856527408701;40
